1677325508600364, start time, cnt: 40 40 39
1677325508600496, stream prior 1 out, cnt: 0
1677325508603069, stream prior 2 out, cnt: 0
1677325508605543, stream prior 3 out, cnt: 0
1677325508600554, stream prior 1 out, cnt: 1
1677325508603114, stream prior 2 out, cnt: 1
1677325508605610, stream prior 3 out, cnt: 1
1677325508600604, stream prior 1 out, cnt: 2
1677325508603158, stream prior 2 out, cnt: 2
1677325508605674, stream prior 3 out, cnt: 2
1677325508600654, stream prior 1 out, cnt: 3
1677325508603201, stream prior 2 out, cnt: 3
1677325508605744, stream prior 3 out, cnt: 3
1677325508600710, stream prior 1 out, cnt: 4
1677325508603243, stream prior 2 out, cnt: 4
1677325508605809, stream prior 3 out, cnt: 4
1677325508600773, stream prior 1 out, cnt: 5
1677325508603285, stream prior 2 out, cnt: 5
1677325508605875, stream prior 3 out, cnt: 5
1677325508600835, stream prior 1 out, cnt: 6
1677325508603328, stream prior 2 out, cnt: 6
1677325508605941, stream prior 3 out, cnt: 6
1677325508600895, stream prior 1 out, cnt: 7
1677325508603371, stream prior 2 out, cnt: 7
1677325508606017, stream prior 3 out, cnt: 7
1677325508600957, stream prior 1 out, cnt: 8
1677325508603414, stream prior 2 out, cnt: 8
1677325508606081, stream prior 3 out, cnt: 8
1677325508601020, stream prior 1 out, cnt: 9
1677325508603458, stream prior 2 out, cnt: 9
1677325508606142, stream prior 3 out, cnt: 9
1677325508601084, stream prior 1 out, cnt: 10
1677325508603518, stream prior 2 out, cnt: 10
1677325508606206, stream prior 3 out, cnt: 10
1677325508601155, stream prior 1 out, cnt: 11
1677325508603582, stream prior 2 out, cnt: 11
1677325508606270, stream prior 3 out, cnt: 11
1677325508601221, stream prior 1 out, cnt: 12
1677325508603646, stream prior 2 out, cnt: 12
1677325508606333, stream prior 3 out, cnt: 12
1677325508601287, stream prior 1 out, cnt: 13
1677325508603710, stream prior 2 out, cnt: 13
1677325508606395, stream prior 3 out, cnt: 13
1677325508601353, stream prior 1 out, cnt: 14
1677325508603773, stream prior 2 out, cnt: 14
1677325508606464, stream prior 3 out, cnt: 14
1677325508601421, stream prior 1 out, cnt: 15
1677325508603837, stream prior 2 out, cnt: 15
1677325508606528, stream prior 3 out, cnt: 15
1677325508601497, stream prior 1 out, cnt: 16
1677325508603907, stream prior 2 out, cnt: 16
1677325508606589, stream prior 3 out, cnt: 16
1677325508601565, stream prior 1 out, cnt: 17
1677325508603974, stream prior 2 out, cnt: 17
1677325508606652, stream prior 3 out, cnt: 17
1677325508601629, stream prior 1 out, cnt: 18
1677325508604037, stream prior 2 out, cnt: 18
1677325508606718, stream prior 3 out, cnt: 18
1677325508601691, stream prior 1 out, cnt: 19
1677325508604102, stream prior 2 out, cnt: 19
1677325508606784, stream prior 3 out, cnt: 19
1677325508601752, stream prior 1 out, cnt: 20
1677325508604165, stream prior 2 out, cnt: 20
1677325508606851, stream prior 3 out, cnt: 20
1677325508601831, stream prior 1 out, cnt: 21
1677325508604228, stream prior 2 out, cnt: 21
1677325508606915, stream prior 3 out, cnt: 21
1677325508601904, stream prior 1 out, cnt: 22
1677325508604291, stream prior 2 out, cnt: 22
1677325508606980, stream prior 3 out, cnt: 22
1677325508601973, stream prior 1 out, cnt: 23
1677325508604355, stream prior 2 out, cnt: 23
1677325508607046, stream prior 3 out, cnt: 23
1677325508602036, stream prior 1 out, cnt: 24
1677325508604441, stream prior 2 out, cnt: 24
1677325508607113, stream prior 3 out, cnt: 24
1677325508602104, stream prior 1 out, cnt: 25
1677325508604517, stream prior 2 out, cnt: 25
1677325508607178, stream prior 3 out, cnt: 25
1677325508602169, stream prior 1 out, cnt: 26
1677325508604581, stream prior 2 out, cnt: 26
1677325508607243, stream prior 3 out, cnt: 26
1677325508602233, stream prior 1 out, cnt: 27
1677325508604645, stream prior 2 out, cnt: 27
1677325508607309, stream prior 3 out, cnt: 27
1677325508602296, stream prior 1 out, cnt: 28
1677325508604708, stream prior 2 out, cnt: 28
1677325508607375, stream prior 3 out, cnt: 28
1677325508602360, stream prior 1 out, cnt: 29
1677325508604771, stream prior 2 out, cnt: 29
1677325508607440, stream prior 3 out, cnt: 29
1677325508602423, stream prior 1 out, cnt: 30
1677325508604835, stream prior 2 out, cnt: 30
1677325508607515, stream prior 3 out, cnt: 30
1677325508602505, stream prior 1 out, cnt: 31
1677325508604899, stream prior 2 out, cnt: 31
1677325508607584, stream prior 3 out, cnt: 31
1677325508602570, stream prior 1 out, cnt: 32
1677325508605014, stream prior 2 out, cnt: 32
1677325508607650, stream prior 3 out, cnt: 32
1677325508602652, stream prior 1 out, cnt: 33
1677325508605086, stream prior 2 out, cnt: 33
1677325508607716, stream prior 3 out, cnt: 33
1677325508602716, stream prior 1 out, cnt: 34
1677325508605151, stream prior 2 out, cnt: 34
1677325508607782, stream prior 3 out, cnt: 34
1677325508602779, stream prior 1 out, cnt: 35
1677325508605215, stream prior 2 out, cnt: 35
1677325508607849, stream prior 3 out, cnt: 35
1677325508602841, stream prior 1 out, cnt: 36
1677325508605279, stream prior 2 out, cnt: 36
1677325508610964, stream prior 3 out, cnt: 36
1677325508602904, stream prior 1 out, cnt: 37
1677325508605342, stream prior 2 out, cnt: 37
1677325508611042, stream prior 3 out, cnt: 37
1677325508602972, stream prior 1 out, cnt: 38
1677325508605407, stream prior 2 out, cnt: 38
1677325508611112, stream prior 3 out, cnt: 38
1677325508603026, stream prior 1 out, cnt: 39
1677325508605477, stream prior 2 out, cnt: 39
0, stream prior 3 out, cnt: 39
